city, pop_tot , pop_fb ,pop_fb_share,natrate,lsnblaborforceparticrate,lsfblaborforceparticrate,hsnblaborforceparticrate,hsfblaborforceparticrate,lsnbemplrate,lsfbemplrate,hsnbemplrate,hsfbemplrate,lsnbhighprestigerate,lsfbhighprestigerate,hsnbhighprestigerate,hsfbhighprestigerate,lsnbparttimerate,lsfbparttimerate,hsnbparttimerate,hsfbparttimerate,nbentrepreneurshiprate,fbentrepreneurshiprate,lsnbpovertyrate,lsfbpovertyrate,hsnbpovertyrate,hsfbpovertyrate,lsnbtrirecipient,lsfbtrirecipient,hsnbtrirecipient,hsfbtrirecipient,lsnbfoodstamprecipient,lsfbfoodstamprecipient,hsnbfoodstamprecipient,hsfbfoodstamprecipient,nbownershiprate,fbownershiprate,nboverburdenrate,fboverburdenrate,nbovercrowdedrate,fbovercrowdedrate,nbhealthinsu,fbhealthinsu,nbhs,fbhs,nbba,fbba,nbadv,fbadv,nbpubsoc,fbpubsoc,nbmilitaryvet,fbmilitaryvet, lsnbmediantotinc , lsfbmediantotinc , hsnbmediantotinc , hsfbmediantotinc , nbmedianbusinessincome , fbmedianbusinessincome , overall_score , overall_ranking , policy_score ,gov_leadership,econ_empower,Inclusivity,Community,legal_support,emergency_management,se_score,job_opps,econ_prosperity,Livability,civic_particip
"Pittsburgh city, PA"," 301,898 "," 27,082 ",9.0%,75.6%,53.8%,45.4%,81.6%,66.2%,91.4%,96.8%,97.3%,98.0%,5.2%,5.7%,30.5%,37.0%,31.7%,29.4%,13.5%,13.1%,6.2%,8.3%,25.0%,41.9%,9.2%,21.8%,32.9%,31.8%,5.6%,4.5%,23.5%,18.8%,4.3%,4.5%,48.3%,30.6%,37.5%,44.0%,0.3%,2.5%,94.7%,89.2%,92.9%,88.5%,42.0%,69.6%,18.6%,43.2%,5.5%,1.9%,7.8%,1.1%," $14,497 "," $9,400 "," $48,154 "," $30,250 "," $22,000 "," $20,859 ", 3.13 , 43 , 4.00 ,4,4,3,5,3,5,2.25,3,2,3,1
"Plano city, TX"," 287,217 "," 78,451 ",27.3%,80.6%,63.2%,63.1%,77.8%,75.6%,95.2%,97.1%,96.9%,95.9%,7.8%,3.3%,27.6%,35.0%,22.0%,20.5%,11.3%,9.8%,9.3%,11.0%,8.0%,15.3%,3.3%,5.9%,14.4%,8.1%,2.1%,2.5%,4.8%,8.1%,1.1%,2.5%,58.0%,55.3%,31.9%,31.3%,0.6%,2.2%,92.5%,79.7%,97.5%,86.5%,54.4%,62.9%,17.5%,32.5%,3.8%,1.7%,8.1%,0.7%," $20,827 "," $15,272 "," $60,000 "," $57,500 "," $31,961 "," $26,471 ", 2.04 , 93 , 1.33 ,1,1,2,2,1,1,2.75,1,2,5,3
"Portland city, OR"," 644,564 "," 85,654 ",13.3%,76.1%,62.1%,63.9%,79.8%,77.7%,92.5%,95.1%,97.1%,97.4%,4.7%,2.3%,24.6%,26.6%,31.3%,20.5%,18.7%,18.2%,12.0%,11.4%,17.2%,23.9%,5.9%,8.5%,33.2%,34.9%,7.6%,9.8%,22.3%,33.3%,5.4%,9.8%,54.4%,49.9%,41.7%,45.8%,1.2%,3.6%,94.8%,86.3%,95.8%,73.2%,53.4%,32.2%,21.3%,14.3%,5.8%,3.7%,7.4%,1.7%," $20,000 "," $17,730 "," $53,268 "," $46,932 "," $24,819 "," $22,661 ", 3.17 , 40 , 3.33 ,3,3,4,3,4,3,3,2,2,3,5
"Raleigh city, NC"," 469,542 "," 59,233 ",12.6%,73.8%,57.8%,71.6%,80.9%,75.8%,93.4%,95.3%,97.5%,98.0%,5.5%,2.5%,25.9%,31.1%,27.2%,19.5%,12.9%,17.2%,8.4%,9.3%,15.2%,24.6%,4.3%,11.1%,23.5%,12.2%,2.4%,3.3%,12.5%,14.4%,1.6%,3.0%,56.4%,44.8%,35.0%,39.6%,0.3%,2.3%,92.3%,68.8%,94.8%,75.2%,52.9%,43.7%,18.4%,20.6%,7.3%,3.0%,7.8%,1.7%," $16,687 "," $18,733 "," $53,400 "," $40,725 "," $31,961 "," $25,899 ", 2.33 , 87 , 2.17 ,3,1,1,3,2,3,2.5,3,3,1,3
"Reno city, NV"," 243,053 "," 36,412 ",15.0%,72.7%,63.7%,74.3%,71.3%,76.2%,93.0%,95.0%,97.5%,97.8%,4.3%,0.7%,29.0%,23.0%,28.1%,18.3%,17.1%,15.8%,9.1%,5.8%,17.2%,13.9%,4.9%,8.4%,25.9%,12.0%,5.2%,5.4%,14.7%,16.4%,3.3%,8.5%,50.8%,44.0%,40.2%,36.5%,1.6%,3.9%,92.5%,76.6%,93.9%,69.2%,36.4%,25.3%,14.1%,10.3%,5.8%,2.4%,11.3%,2.6%," $21,201 "," $22,399 "," $52,147 "," $40,000 "," $30,176 "," $22,500 ", 2.67 , 66 , 2.33 ,2,4,3,1,3,1,3,2,3,4,3
"Richmond city, VA"," 226,352 "," 16,049 ",7.1%,75.3%,56.0%,70.3%,82.3%,72.1%,90.2%,95.9%,98.3%,94.6%,2.7%,1.2%,25.0%,30.5%,30.1%,25.3%,13.2%,16.9%,6.2%,7.1%,29.8%,24.0%,6.2%,18.4%,33.6%,9.5%,3.0%,3.1%,22.3%,15.5%,1.8%,5.3%,43.6%,32.6%,42.3%,36.8%,0.6%,2.6%,90.9%,53.0%,87.5%,60.9%,39.7%,27.9%,16.0%,16.6%,7.5%,2.7%,7.9%,1.6%," $14,000 "," $15,272 "," $50,906 "," $49,000 "," $20,000 "," $18,773 ", 3.38 , 31 , 4.00 ,5,4,4,3,3,5,2.75,1,5,2,3
"Riverside city, CA"," 327,680 "," 74,150 ",22.6%,71.7%,60.3%,60.8%,75.2%,70.7%,92.1%,95.4%,95.1%,97.6%,4.0%,1.8%,27.1%,32.3%,28.4%,15.5%,18.0%,16.7%,7.0%,9.7%,14.8%,15.8%,4.5%,6.8%,38.5%,30.0%,9.0%,12.6%,11.5%,16.4%,3.7%,4.3%,54.3%,53.4%,48.4%,51.0%,1.6%,5.2%,93.7%,79.7%,89.8%,60.4%,24.7%,17.5%,10.3%,7.1%,6.3%,2.8%,7.4%,1.6%," $15,448 "," $18,326 "," $53,268 "," $41,549 "," $31,288 "," $22,945 ", 2.96 , 50 , 2.67 ,1,3,4,3,3,2,3.25,4,3,3,3
"Sacramento city, CA"," 502,517 "," 111,593 ",22.2%,75.4%,57.8%,59.2%,78.1%,73.0%,90.0%,93.9%,97.3%,95.4%,5.5%,3.3%,28.7%,32.2%,26.8%,24.5%,15.4%,13.6%,7.9%,10.8%,18.3%,22.0%,5.0%,8.6%,42.1%,42.1%,7.6%,15.2%,15.2%,18.7%,3.3%,5.9%,48.8%,50.1%,42.9%,48.3%,0.9%,4.0%,95.6%,87.2%,92.1%,70.3%,36.2%,23.5%,12.9%,8.2%,14.7%,7.7%,8.5%,2.3%," $17,715 "," $14,915 "," $60,490 "," $43,803 "," $24,000 "," $25,453 ", 3.29 , 33 , 3.83 ,2,4,4,4,5,4,2.75,3,2,3,3
"San Antonio city, TX"," 1,484,014 "," 204,742 ",13.8%,68.5%,61.1%,61.0%,76.0%,74.0%,93.5%,96.2%,97.0%,97.0%,4.3%,2.2%,28.1%,25.8%,22.7%,18.0%,12.2%,11.5%,6.4%,13.4%,18.9%,21.9%,5.0%,9.4%,28.0%,13.3%,3.6%,4.4%,18.1%,19.8%,3.2%,5.0%,55.2%,52.7%,38.6%,38.8%,1.1%,2.3%,86.4%,66.9%,87.4%,60.4%,27.4%,21.8%,9.8%,8.5%,5.7%,2.3%,13.0%,3.4%," $16,187 "," $15,980 "," $52,203 "," $38,688 "," $23,740 "," $20,362 ", 3.50 , 23 , 4.00 ,5,3,3,5,3,5,3,3,3,3,3
"San Bernardino city, CA"," 216,811 "," 50,717 ",23.4%,60.6%,56.9%,60.8%,72.0%,70.4%,87.4%,93.0%,95.5%,93.6%,2.4%,1.3%,24.5%,19.5%,27.6%,17.6%,20.3%,22.7%,5.0%,9.7%,26.3%,24.8%,6.1%,15.7%,55.8%,36.5%,14.0%,17.1%,23.6%,28.1%,10.7%,7.4%,48.3%,53.4%,54.0%,51.2%,3.2%,7.8%,91.5%,71.3%,81.5%,47.3%,13.5%,8.1%,4.4%,2.5%,7.7%,2.8%,6.7%,1.3%," $11,889 "," $15,272 "," $45,322 "," $21,582 "," $26,272 "," $17,626 ", 2.92 , 54 , 2.83 ,1,3,4,2,3,4,3,5,3,3,1
"San Diego city, CA"," 1,403,977 "," 356,074 ",25.4%,76.4%,62.6%,59.7%,77.7%,73.6%,92.2%,94.1%,96.6%,96.0%,5.5%,3.1%,30.3%,39.9%,28.2%,25.6%,16.6%,15.3%,10.6%,13.8%,15.2%,20.3%,5.1%,8.5%,29.9%,30.8%,6.6%,8.9%,8.0%,15.3%,2.0%,2.3%,46.7%,43.8%,46.8%,56.4%,1.5%,5.1%,93.8%,86.1%,95.3%,73.2%,49.1%,36.9%,19.2%,16.7%,6.5%,4.0%,14.1%,4.4%," $18,400 "," $15,341 "," $61,846 "," $50,000 "," $30,107 "," $20,362 ", 3.13 , 43 , 3.50 ,3,4,5,3,5,1,2.75,2,1,3,5
"San Francisco city, CA"," 874,787 "," 299,854 ",34.3%,82.3%,57.5%,54.8%,85.4%,77.1%,91.9%,94.9%,97.2%,97.1%,4.0%,3.0%,26.4%,31.1%,31.8%,28.1%,12.1%,11.6%,10.7%,11.0%,15.7%,14.0%,4.6%,7.5%,34.5%,37.5%,5.3%,9.5%,10.5%,10.7%,1.7%,2.6%,35.3%,40.4%,29.3%,39.1%,2.2%,8.2%,97.0%,94.6%,96.6%,76.2%,68.8%,41.8%,26.4%,17.8%,4.8%,4.2%,4.9%,1.6%," $18,021 "," $18,053 "," $86,328 "," $71,268 "," $38,353 "," $25,453 ", 4.00 , 10 , 5.00 ,5,5,5,5,5,5,3,1,2,4,5
"San Jose city, CA"," 1,019,911 "," 397,097 ",38.9%,78.0%,60.1%,62.5%,79.5%,77.4%,93.5%,95.6%,96.3%,96.4%,4.5%,4.1%,28.9%,37.0%,30.6%,22.9%,14.2%,10.5%,7.5%,8.7%,10.1%,12.2%,3.4%,4.4%,33.3%,33.0%,6.1%,8.4%,8.6%,12.7%,1.4%,2.3%,59.2%,55.8%,45.6%,48.7%,1.9%,5.0%,96.4%,92.0%,92.3%,77.6%,43.9%,42.5%,15.1%,19.4%,4.9%,2.4%,6.4%,1.3%," $18,326 "," $19,800 "," $74,458 "," $74,576 "," $32,373 "," $24,435 ", 4.25 , 5 , 5.00 ,5,5,5,5,5,5,3.5,4,3,4,3
"Santa Ana city, CA"," 334,183 "," 143,415 ",42.9%,64.5%,63.0%,66.9%,81.0%,78.2%,92.8%,96.6%,96.1%,95.8%,2.0%,1.3%,20.5%,22.1%,29.7%,20.0%,19.9%,15.3%,6.6%,10.4%,17.5%,16.5%,5.1%,7.1%,52.4%,32.8%,11.9%,18.4%,11.5%,18.8%,3.5%,7.9%,53.2%,41.5%,45.9%,58.3%,5.8%,15.7%,91.0%,76.7%,85.1%,45.8%,26.0%,10.5%,7.9%,3.1%,4.3%,1.8%,4.4%,0.8%," $14,200 "," $18,326 "," $44,846 "," $38,380 "," $25,448 "," $20,362 ", 3.46 , 26 , 4.17 ,4,4,5,4,5,3,2.75,5,4,1,1
"Scottsdale city, AZ"," 250,761 "," 26,896 ",10.7%,82.3%,55.6%,52.7%,68.0%,70.0%,94.9%,95.4%,97.5%,97.7%,8.3%,6.9%,26.4%,38.2%,28.4%,25.2%,16.2%,15.4%,16.0%,18.9%,10.2%,18.5%,3.9%,5.3%,15.9%,11.6%,4.0%,5.2%,6.5%,9.7%,1.0%,3.0%,68.7%,64.1%,32.0%,36.8%,0.6%,0.9%,94.8%,87.9%,97.0%,88.5%,55.7%,52.8%,20.9%,28.1%,4.2%,2.2%,10.3%,2.4%," $23,225 "," $20,859 "," $61,300 "," $66,122 "," $35,634 "," $31,294 ", 2.42 , 83 , 1.33 ,1,1,1,1,3,1,3.5,3,2,5,4
"Seattle city, WA"," 725,210 "," 135,428 ",18.7%,75.8%,62.5%,57.9%,82.9%,78.4%,93.2%,93.1%,97.6%,96.9%,5.7%,3.6%,29.2%,32.8%,32.1%,26.8%,15.2%,12.8%,10.2%,9.4%,16.0%,22.5%,4.7%,8.0%,26.2%,27.8%,5.0%,5.1%,17.2%,24.7%,2.5%,3.5%,47.2%,38.5%,37.2%,35.2%,1.7%,4.6%,96.8%,91.5%,97.4%,84.6%,66.0%,54.1%,26.5%,28.1%,5.2%,2.9%,6.3%,2.0%," $22,399 "," $18,129 "," $66,053 "," $64,746 "," $31,961 "," $25,000 ", 4.00 , 10 , 5.00 ,5,5,5,5,5,5,3,1,2,4,5
"St. Louis city, MO"," 307,841 "," 21,231 ",6.9%,75.0%,58.3%,62.9%,82.2%,68.3%,89.5%,90.3%,97.2%,97.6%,4.1%,6.7%,30.4%,49.6%,24.9%,15.0%,11.6%,12.7%,6.0%,6.3%,25.5%,26.2%,7.5%,17.9%,35.3%,24.9%,4.6%,3.5%,28.0%,23.1%,3.8%,5.1%,44.2%,36.4%,35.8%,36.2%,0.5%,1.9%,89.9%,78.8%,88.2%,82.7%,35.7%,44.8%,15.2%,27.1%,6.7%,2.1%,8.0%,1.5%," $16,188 "," $15,767 "," $50,000 "," $37,500 "," $25,030 "," $17,308 ", 2.67 , 66 , 2.33 ,2,4,1,2,1,4,3,4,3,3,2
"St. Paul city, MN"," 304,635 "," 60,544 ",19.9%,76.9%,64.2%,64.8%,81.9%,81.2%,91.0%,94.6%,98.3%,97.1%,5.7%,1.8%,24.1%,26.9%,34.1%,29.0%,14.9%,17.7%,6.6%,5.5%,21.7%,30.1%,4.1%,13.8%,42.3%,51.9%,8.1%,14.9%,21.5%,35.2%,2.3%,9.7%,54.4%,32.5%,41.8%,48.7%,1.1%,9.7%,95.0%,84.7%,93.7%,65.8%,47.1%,23.8%,19.3%,9.3%,8.1%,3.9%,5.9%,1.3%," $16,800 "," $14,661 "," $50,906 "," $36,503 "," $20,362 "," $19,424 ", 2.83 , 58 , 4.17 ,5,4,3,5,5,3,1.5,1,1,1,3
"St. Petersburg city, FL"," 257,609 "," 27,913 ",10.8%,80.8%,57.8%,57.8%,70.2%,67.4%,93.0%,94.7%,97.2%,97.0%,6.0%,6.1%,26.0%,34.1%,23.1%,21.7%,16.7%,15.6%,11.2%,13.2%,15.5%,16.2%,5.6%,9.2%,24.2%,15.1%,4.9%,6.0%,17.1%,13.9%,3.3%,7.1%,60.2%,66.2%,42.0%,28.4%,0.6%,1.1%,89.6%,82.5%,92.4%,84.9%,36.0%,34.2%,12.8%,14.2%,5.3%,4.4%,12.1%,4.1%," $19,900 "," $19,816 "," $50,400 "," $43,704 "," $21,307 "," $23,417 ", 2.83 , 58 , 1.17 ,1,2,1,1,1,1,4.5,3,5,5,5
"Stockton city, CA"," 306,512 "," 77,366 ",25.2%,67.7%,56.3%,60.0%,71.5%,68.5%,88.8%,91.5%,96.5%,97.2%,3.1%,1.7%,25.5%,23.3%,26.1%,15.2%,18.0%,16.9%,6.9%,9.3%,19.7%,17.6%,5.9%,10.4%,50.1%,42.2%,12.1%,23.9%,20.5%,26.1%,6.5%,7.5%,49.5%,47.2%,46.1%,44.2%,1.5%,4.0%,95.2%,85.6%,87.1%,58.5%,19.0%,15.6%,6.2%,4.4%,7.8%,4.3%,7.1%,1.8%," $15,323 "," $16,290 "," $52,147 "," $32,122 "," $25,030 "," $24,503 ", 3.63 , 20 , 4.00 ,3,4,5,4,5,3,3.25,3,3,4,3
"Tampa city, FL"," 384,044 "," 64,841 ",16.9%,75.3%,58.6%,63.6%,80.2%,74.5%,90.7%,92.9%,97.8%,95.7%,4.8%,2.7%,28.4%,26.1%,24.9%,17.9%,12.3%,11.9%,9.2%,12.4%,24.2%,26.5%,5.7%,11.7%,34.8%,23.1%,3.4%,6.0%,26.5%,31.2%,3.4%,9.0%,47.4%,44.0%,44.9%,47.7%,1.1%,2.3%,89.5%,74.7%,89.6%,77.3%,36.8%,30.1%,14.3%,12.7%,4.6%,1.9%,10.1%,2.7%," $15,331 "," $15,107 "," $53,955 "," $35,634 "," $23,740 "," $17,266 ", 2.29 , 90 , 1.83 ,3,2,2,1,2,1,2.75,2,2,4,3
"Toledo city, OH"," 277,605 "," 9,407 ",3.4%,68.9%,58.8%,59.3%,76.5%,68.1%,89.7%,94.7%,95.9%,92.5%,4.4%,2.6%,24.3%,37.6%,26.6%,33.3%,14.9%,28.4%,5.2%,8.2%,27.1%,31.1%,9.9%,24.2%,41.6%,24.6%,8.8%,14.0%,27.1%,17.6%,7.3%,5.2%,50.7%,50.2%,34.5%,42.2%,0.3%,1.9%,92.4%,83.3%,86.7%,77.2%,17.9%,38.1%,5.9%,17.8%,4.1%,1.6%,8.1%,1.3%," $17,104 "," $13,236 "," $41,717 "," $19,000 "," $18,326 "," $15,272 ", 3.17 , 40 , 3.83 ,5,3,3,5,2,5,2.5,1,3,4,2
"Tucson city, AZ"," 533,839 "," 76,600 ",14.3%,72.1%,57.7%,58.6%,65.3%,70.2%,91.0%,92.6%,96.9%,95.9%,4.2%,1.6%,27.8%,33.1%,28.5%,28.9%,20.3%,20.4%,7.7%,15.5%,22.7%,27.5%,8.2%,15.2%,36.0%,30.1%,8.7%,12.0%,19.4%,27.5%,4.3%,7.4%,54.6%,55.3%,42.5%,44.4%,1.2%,2.8%,91.3%,73.7%,90.8%,63.4%,30.1%,19.6%,12.1%,8.4%,6.8%,3.0%,12.6%,3.3%," $16,270 "," $13,165 "," $42,000 "," $32,987 "," $18,200 "," $16,187 ", 3.08 , 46 , 3.17 ,3,1,2,5,3,5,3,4,2,3,3
"Tulsa city, OK"," 411,424 "," 37,898 ",9.2%,69.7%,61.5%,70.3%,75.2%,74.8%,93.1%,95.4%,97.4%,96.7%,5.7%,1.9%,30.3%,35.9%,22.2%,20.7%,13.5%,14.6%,9.6%,9.9%,18.0%,24.8%,4.4%,11.2%,25.9%,10.4%,3.7%,4.7%,16.4%,12.2%,2.5%,3.0%,56.6%,46.5%,34.0%,36.2%,0.4%,2.3%,88.2%,62.9%,92.9%,65.3%,34.8%,24.4%,11.6%,9.5%,5.0%,2.3%,9.8%,2.0%," $19,607 "," $17,266 "," $48,079 "," $37,769 "," $25,000 "," $24,503 ", 2.92 , 54 , 3.33 ,4,4,2,5,2,3,2.5,2,4,1,3
"Virginia Beach city, VA"," 450,010 "," 41,400 ",9.2%,81.0%,68.5%,63.5%,77.4%,73.9%,94.6%,98.1%,97.7%,98.1%,5.4%,2.8%,26.1%,30.2%,21.5%,17.4%,13.6%,12.3%,7.3%,10.2%,8.9%,9.8%,3.2%,2.5%,15.0%,9.6%,2.9%,5.3%,7.4%,7.5%,1.9%,5.5%,62.8%,66.5%,37.1%,34.8%,0.3%,2.3%,92.9%,88.7%,94.8%,85.3%,35.8%,38.3%,13.4%,15.0%,9.8%,7.0%,24.6%,15.4%," $25,453 "," $21,276 "," $55,000 "," $43,164 "," $21,991 "," $23,417 ", 2.67 , 66 , 1.33 ,1,1,3,1,1,1,4,3,3,5,5
"Washington city, DC"," 692,683 "," 96,171 ",13.9%,70.0%,51.1%,66.5%,85.5%,82.1%,83.9%,93.4%,97.4%,96.5%,4.4%,3.1%,29.2%,27.0%,27.9%,27.7%,8.6%,10.5%,6.9%,7.9%,26.2%,18.8%,5.5%,8.0%,52.1%,34.4%,5.5%,6.9%,26.9%,16.7%,2.5%,2.3%,41.9%,37.4%,39.7%,45.5%,1.0%,5.5%,97.0%,91.6%,92.9%,80.6%,59.3%,56.1%,33.4%,36.6%,24.2%,19.1%,6.7%,1.7%," $12,000 "," $18,111 "," $78,220 "," $69,887 "," $41,441 "," $30,544 ", 4.04 , 9 , 4.33 ,5,3,5,5,4,4,3.75,2,5,4,4
"Wichita city, KS"," 389,195 "," 32,133 ",8.3%,74.8%,61.3%,66.9%,75.4%,75.9%,93.6%,96.3%,97.8%,96.7%,4.4%,1.8%,29.1%,31.5%,23.1%,18.5%,14.2%,15.8%,7.6%,7.0%,17.1%,21.9%,4.7%,12.2%,26.0%,10.9%,4.1%,3.4%,15.3%,15.8%,2.3%,5.4%,62.1%,61.8%,31.2%,34.9%,0.6%,1.3%,90.3%,69.6%,91.8%,62.5%,30.0%,20.1%,10.6%,8.9%,4.7%,2.0%,11.1%,1.6%," $20,024 "," $17,730 "," $47,941 "," $37,013 "," $20,859 "," $20,362 ", 2.75 , 62 , 3.00 ,4,1,2,3,3,5,2.5,1,4,3,2
"Winston-Salem city, NC"," 243,834 "," 23,692 ",9.7%,69.6%,54.5%,65.4%,73.1%,75.1%,91.7%,95.6%,97.2%,95.1%,4.6%,1.5%,26.0%,30.1%,26.3%,14.2%,15.6%,9.8%,7.6%,9.4%,23.2%,30.2%,6.9%,11.4%,31.8%,9.1%,4.9%,6.6%,16.9%,16.2%,3.7%,2.8%,54.8%,46.6%,37.8%,33.4%,0.4%,2.5%,90.9%,58.0%,91.5%,61.7%,34.6%,24.7%,13.4%,11.1%,5.0%,1.5%,8.3%,3.1%," $15,100 "," $16,270 "," $46,932 "," $41,672 "," $21,380 "," $18,326 ", 3.50 , 23 , 3.00 ,4,1,2,5,3,3,4,5,5,3,3
